ç≈í·ãóó£,â^í¿,,,,,,,,,,,,
1,155,,,,,,,,,,,,
4,199,,,,,,,,,,,,
7,209,,,,,,,,,,,,
11,253,,,,,,,,,,,,
16,341,,,,,,,,,,,,
21,440,,,,,,,,,,,,
26,528,,,,,,,,,,,,
31,616,,,,,,,,,,,,
36,715,,,,,,,,,,,,
41,803,,,,,,,,,,,,
46,902,,,,,,,,,,,,
51,1034,,,,,,,,,,,,
61,1221,,,,,,,,,,,,
71,1408,,,,,,,,,,,,
81,1595,,,,,,,,,,,,
91,1782,,,,,,,,,,,,
101,2090,,,,,,,,,,,,
121,2420,,,,,,,,,,,,
141,2750,,,,,,,,,,,,
161,3190,,,,,,,,,,,,
181,3520,,,,,,,,,,,,
201,3850,,,,,,,,,,,,
221,4180,,,,,,,,,,,,
241,4620,,,,,,,,,,,,
261,5060,,,,,,,,,,,,
281,5390,,,,,,,,,,,,
301,5720,,,,,,,,,,,,
321,5940,,,,,,,,,,,,
341,6720,,,,,,,,,,,,
361,6600,,,,,,,,,,,,
381,6930,,,,,,,,,,,,
401,7260,,,,,,,,,,,,
421,7480,,,,,,,,,,,,
441,7810,,,,,,,,,,,,
461,8030,,,,,,,,,,,,
481,8360,,,,,,,,,,,,
501,8690,,,,,,,,,,,,
521,9020,,,,,,,,,,,,
541,,,,,,,,,,,,,
